Fecha,HW
2021-01-10,0.0
2021-01-17,0.0119548179972532
2021-01-24,0.0615690844006859
2021-01-31,0.0178887950803527
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.1980734906754593
2021-03-07,0.1500663710056837
2021-03-14,0.0
2021-03-21,0.0
2021-03-28,0.0
2021-04-04,0.1409205143740726
2021-04-11,0.0026114298093751
2021-04-18,0.0
2021-04-25,0.0214419875167686
2021-05-02,0.805779422576034
2021-05-09,2.0055607603608108
2021-05-16,2.9712241081936264
2021-05-23,2.9134102830258213
2021-05-30,2.66372102655
2021-06-06,0.5723792923601285
2021-06-13,0.0354167328379264
2021-06-20,0.0239936618573174
2021-06-27,0.4250274238484787
2021-07-04,0.7492813137817077
2021-07-11,0.3334486315407052
2021-07-18,0.4851790626105846
2021-07-25,4.741072673501643
2021-08-01,3.936617929648136
2021-08-08,4.515995789751508
2021-08-15,0.7883983416356943
2021-08-22,3.311961783041854
2021-08-29,4.317828016631106
2021-09-05,7.334726612983633
2021-09-12,10.549482867621698
2021-09-19,11.113323199867654
2021-09-26,8.605352189606746
2021-10-03,5.665577531622336
2021-10-10,6.844582624062827
2021-10-17,7.862935944052117
2021-10-24,6.188281808791036
2021-10-31,3.715073392328819
2021-11-07,7.533292219732422
2021-11-14,3.807478529262263
2021-11-21,2.25588188257
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,1.4541497053337302
2022-01-02,0.2234331868735322
2022-01-09,0.0
2022-01-16,0.0019813447538208
2022-01-23,0.0
2022-01-30,0.0453281345270606
2022-02-06,0.0212479898427098
2022-02-13,0.0069681748113286
2022-02-20,0.0018078756755475
2022-02-27,0.0344553620563128
2022-03-06,0.0648557394860507
2022-03-13,0.0824316160847478
2022-03-20,0.0
2022-03-27,1.7517896033939229
2022-04-03,3.1495280004315123
2022-04-10,4.427174449040425
2022-04-17,2.867697072094741
2022-04-24,4.058827448351851
2022-05-01,3.187012109192156
2022-05-08,4.660530680782164
2022-05-15,4.98308601522882
2022-05-22,6.15879364209625
2022-05-29,6.907970340520663
2022-06-05,5.937305319547676
2022-06-12,5.329375417058511
2022-06-19,4.762845402316245
2022-06-26,3.3115610587389264
2022-07-03,5.4783619172425055
2022-07-10,6.940415176629064
2022-07-17,5.078101538460367
2022-07-24,4.872040312714548
2022-07-31,5.589938264462647
2022-08-07,2.707992786254944
2022-08-14,5.060501952075293
2022-08-21,4.28180690630604
2022-08-28,4.899115187225167
2022-09-04,5.2772382309049375
2022-09-11,3.1416252501979987
2022-09-18,4.0226046720101625
2022-09-25,1.6607023972591213
2022-10-02,1.281760210773469
2022-10-09,0.3178933848938157
2022-10-16,4.465230536816117
2022-10-23,10.727001081029908
2022-10-30,13.366448250578824
2022-11-06,7.601186142553232
2022-11-13,7.0087992107031205
2022-11-20,8.712106367182352
2022-11-27,8.635070516250533
2022-12-04,10.562726004892738
2022-12-11,3.78248697383028
2022-12-18,0.180660623568754
2022-12-25,0.0
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,0.0
2023-01-29,0.0
2023-02-05,0.0333091930722955
2023-02-12,0.0219295997679784
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0494513642215217
2023-03-12,0.2172304176704238
2023-03-19,1.1947517595738275
2023-03-26,0.6214520614494927
2023-04-02,0.6976480068786244
2023-04-09,0.0
2023-04-16,0.0963527261635337
2023-04-23,0.0
